Years,States,Total women with births,Birth rate,General fertility rate,Total fertility rate,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Percent of women in labor force,Teenage pregnancy,Teenage birth Rate
2014,Oregon,47280,12.1,51.4,1.85,156674,184385,332742,166704,78995,72.1,2076,17
2014,Pennsylvania,146963,11.5,49.3,1.77,454858,772641,906504,562326,286029,73.2,8285,19
2014,Rhode Island,11617,11.0,44.7,1.61,41260,54203,89494,49889,24975,76.2,694,18
2014,South Carolina,61599,13.0,54.2,1.95,199175,268283,406169,178738,83496,71.6,4266,28
2014,South Dakota,12491,15.0,66.7,2.40,29839,39272,69964,36223,11895,79.4,682,24
2014,Tennessee,86428,13.4,55.2,1.99,263465,421833,506982,255104,116958,70.3,6154,30
2014,Texas,396152,15.2,60.5,2.18,1463083,1429057,2121231,1100760,434949,68,31356,34
2014,Utah,53118,18.6,74.4,2.68,121620,144834,284244,126434,36408,68.6,1659,15
2014,Vermont,6021,9.6,41.5,1.49,18320,32761,48252,30804,15066,76.9,246,11
2014,Virginia,109656,13.4,53.7,1.93,303203,407496,647263,434483,248047,73.4,4511,17
2014,Washington,90758,13.2,54.6,1.97,273399,327577,592423,321387,146958,71.1,3569,16
2014,West Virginia,19042,10.3,45.7,1.64,70974,126855,137828,55577,25629,64.6,1290,23
2014,Wisconsin,69748,12.2,52.1,1.88,199339,294971,484979,257334,102292,78.9,2690,14
2014,Wyoming,7590,13.2,57.8,2.08,18772,28885,53955,21280,8358,74.7,375,21
2014,Puerto Rico,37222,10.2,41.3,1.49,170460,196726,289442,182564,61188,56.1,4449,34
2013,United States,4165860,13.4,54.7,1.97,13828555,16727372,25419111,13774617,6475727,71.8,248543,21
2013,Alabama,65578,13.7,56.1,2.02,229763,279213,414886,169930,75135,68.3,4544,26
2013,Alaska,12010,16.7,68.2,2.46,28048,41405,64824,29799,11962,73.2,518,20
2013,Arizona,88162,13.6,57.5,2.07,324791,326271,546582,233757,101311,68.8,5825,22
2013,Arkansas,38668,13.2,55.7,2.01,132302,189517,242768,92867,36507,68.6,3094,30
2013,California,514155,13.7,53.9,1.94,2141423,1806061,3090691,1717731,774596,68.2,27902,19
2013,Colorado,70944,13.9,56.2,2.02,207386,228065,414461,284777,126670,74.4,3614,19
2013,Connecticut,40180,11.2,46.3,1.67,131646,179178,263842,180233,113663,76.1,1549,12
2013,Delaware,11904,13.1,53.8,1.94,37070,54423,69523,39661,20576,74,441,14
2013,District of Columbia,8460,13.7,44.6,1.61,21618,29789,43454,47145,47639,75.5,419,21
2013,Florida,220679,11.6,49.7,1.79,774753,1084297,1532683,733632,313920,72.2,12306,19
2013,Georgia,143485,14.6,56.9,2.05,474458,579312,824585,429883,213448,70,9516,25
2013,Hawaii,20210,14.7,63.3,2.28,39726,77967,113166,62570,25920,73,1091,20
2013,Idaho,25071,15.8,67.9,2.44,64321,88314,139505,59878,17289,69.9,1338,20
2013,Illinois,169451,13.2,53.2,1.92,546609,642085,1020638,650814,323681,74,9847,20
2013,Indiana,88098,13.5,56.2,2.02,291741,392437,538895,252319,92480,72.4,6340,26
2013,Iowa,40334,13.2,57.1,2.05,105489,140398,279680,135586,45497,79.6,1886,15
2013,Kansas,43361,15.1,64.5,2.32,112765,128892,244350,131816,54657,75.8,2494,23
2013,Kentucky,57137,13.1,54.6,1.97,185173,266448,370133,144227,79878,69.8,4414,29
2013,Louisiana,64381,14.1,57.1,2.06,225658,304433,366235,168766,62620,69.6,4598,25
2013,Maine,14255,10.7,47.0,1.69,38850,80886,105085,55604,22945,76.3,645,12
2013,Maryland,80059,13.7,54.2,1.95,221810,305740,446318,302417,201315,77.1,4054,18
2013,Massachusetts,78337,11.9,46.9,1.69,231838,314703,493531,391219,237339,76.1,2576,10
2013,Michigan,123290,12.5,52.5,1.89,386932,510668,885611,385186,181245,73,7419,19
2013,Minnesota,74062,13.8,57.7,2.08,183686,223111,469698,292095,115631,80.5,3172,18
2013,Mississippi,42188,14.2,57.7,2.08,143655,172571,278877,93757,41703,67.6,3987,31
2013,Missouri,80387,13.4,55.9,2.01,244568,326628,499349,249071,118211,74.7,5592,25
2013,Montana,12650,12.7,56.7,2.04,33500,50833,81218,43143,14317,75.1,724,17
2013,Nebraska,27848,15.1,64.3,2.32,69873,80059,162792,87147,33140,79.4,1186,17
2013,Nevada,37947,13.9,57.1,2.05,148722,170060,221034,89493,35668,72.3,2481,24
2013,New Hampshire,14739,11.2,46.8,1.68,41666,70180,106031,66752,30319,77.2,483,9
2013,New Jersey,109719,12.4,50.8,1.83,338773,478118,601146,497085,245173,72.9,3471,11
2013,New Mexico,29133,14.1,60.1,2.16,105639,106840,176016,62693,33710,68.2,2863,33
2013,New York,244282,12.5,49.5,1.78,860369,995103,1456531,997098,626839,70.9,10435,15
2013,North Carolina,131026,13.6,55.0,1.98,421345,484708,859242,441471,177049,71.8,9265,26
2013,North Dakota,10214,14.8,63.9,2.30,19403,29181,66012,34869,10449,80.7,446,25
2013,Ohio,145663,12.6,53.2,1.92,449069,680324,946651,447848,213332,74.4,8573,19
2013,Oklahoma,53400,14.1,59.5,2.14,167331,229691,312335,140738,47443,69.2,4138,30
